city,latitude,longitude,station,dominant_pollutant,timestamp,timestamp_timezone,aqi,AQI_meaning,AQI_health_implications,pm2.5,pm10,o3,co,no2,so2,dew,h,p,t,w
Exeter,-41.303,146.951,Exeter,pm2.5,2024-06-30 17:00:00,+10:00,5.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",5.0,2.0,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,3.9,74.3,972.6172142857143,8.2,4.1
Kingston,44.219722,-76.521111,"Kingston, Ontario, Canada",o3,2024-06-30 03:00:00,-05:00,34.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",21.0,40.24025974025974,34.4,4.706329113924051,1.1,3.6504132231404958,20.0,100.0,1009.8,20.0,2.5
Lancaster,34.66959,-118.13068,"Lancaster-Division Street, Los Angeles, California",pm2.5,2022-12-19 13:00:00,-08:00,30.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",30.0,12.0,1.6,4.706329113924051,7.5,3.6504132231404958,-7.0,27.0,1024.3,11.0,2.0
Leicester,52.619823,-1.127311,"Leicester University, United Kingdom",o3,2024-06-30 07:00:00,+01:00,19.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,8.0,19.2,4.706329113924051,2.5,1.1,,75.3,1011.7,13.5,2.0
Lincoln,40.812558,-96.675733,"Llchd Bam, Nebraska, USA",pm2.5,2024-06-30 01:00:00,-06:00,13.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",13.0,40.24025974025974,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,,65.7,508.7,20.1,2.6
Londonderry,55.002851,-7.331128,"Derry Rosemount, United Kingdom",o3,2024-06-30 07:00:00,+01:00,20.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,12.0,20.4,4.706329113924051,0.5,0.6,,76.5,1009.2,12.0,6.0
Oxford,51.744806,-1.260278,"Oxford St Ebbes, United Kingdom",o3,2024-06-30 07:00:00,+01:00,23.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,7.0,23.1,4.706329113924051,1.0,3.6504132231404958,,72.6,1013.3,14.2,0.4
Peterborough,44.301917,-78.346222,"Peterborough, Ontario, Canada",pm2.5,2024-06-30 02:00:00,-05:00,25.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,40.24025974025974,16.8,4.706329113924051,2.0,3.6504132231404958,17.0,100.0,1009.1,17.0,1.0
Plymouth,50.37167,-4.142361,"Plymouth Centre, United Kingdom",o3,2024-06-30 07:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",21.0,9.0,21.1,4.706329113924051,1.0,3.6504132231404958,,83.2,1014.5,16.6,7.2
Preston,53.76559,-2.680353,"Preston, United Kingdom",o3,2024-06-30 07:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,9.0,21.1,4.706329113924051,2.3,3.6504132231404958,,86.4,1013.3,11.1,4.2
Salford,53.48481,-2.334139,"Salford Eccles, United Kingdom",o3,2024-06-30 07:00:00,+01:00,20.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",14.0,10.0,20.3,4.706329113924051,2.7,0.9,,79.0,1012.9,12.3,3.0
Sheffield,53.378622,-1.478096,"Sheffield Devonshire Green, United Kingdom",o3,2024-06-30 07:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,7.0,20.5,4.706329113924051,34.8,1.7,,69.0,1005.7,13.8,1.7
Stirling,56.11472,-3.932178,"Stirling Craig's Roundabout, United Kingdom",,2024-06-29 22:00:00,+01:00,55.35672514619883,Invalid AQI value,Invalid AQI value,19.0,10.0,16.22236842105263,4.706329113924051,1.8,4.1,,82.0,1012.9,11.6,0.2
Stoke,53.02821,-2.175133,"Stoke-on-Trent Centre, United Kingdom",pm2.5,2024-06-30 07:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",21.0,11.0,17.9,4.706329113924051,2.8,3.6504132231404958,,90.5,1012.6,12.7,0.5
